station_id,station_name,city,latitude,longitude,line,timestamp,hour,day_of_week,month,pm25,pm10,co2,no2,o3,noise,humidity,temperature,wind_speed,rain
3,Station-3,Lyon,48.95807455808866,2.24187102428891,Metro 2,1761342400041,13,6,3,44,61,659,37,28,55,71,27,2.106045985543792,1
33,Station-33,Toulouse,48.98343642754868,2.568727427537228,Metro 2,1734029200645,5,4,11,24,95,847,54,8,64,67,18,3.854917378881624,1
49,Station-49,Marseille,48.482074158449954,2.5594269962246496,Metro 1,1733640400651,20,3,8,60,81,792,88,18,67,67,19,4.174624773394495,0
35,Station-35,Nice,48.949803939672215,2.354621047308341,Ligne B,1745686000658,6,3,6,67,65,689,71,48,52,80,6,7.676527036227469,1
10,Station-10,Paris,48.260707113921335,2.476314544822711,Ligne C,1745243200658,19,1,6,66,48,634,82,6,66,84,13,1.0643733453382742,0
18,Station-18,Lyon,48.06504875993412,2.781675181570547,Metro 2,1738183600659,3,5,2,23,66,903,41,58,68,60,5,0.14206539035854893,0
25,Station-25,Marseille,48.31064295340628,2.1489463330680723,Metro 2,1745808400660,18,2,2,75,52,879,30,17,75,61,33,7.080737233515788,0
43,Station-43,Paris,48.553723228541614,2.745266523534899,Ligne A,1763192800660,23,1,10,63,37,850,19,24,63,78,22,8.377942992997268,1
30,Station-30,Marseille,48.28962712084197,2.8229440853088255,Ligne A,1740448000661,1,3,8,25,82,499,32,33,55,73,32,8.598988139429123,0
3,Station-3,Nice,48.74124609576401,2.540463545707329,Metro 2,1735847200661,7,4,3,46,69,687,74,17,56,97,21,9.452369536088934,1
10,Station-10,Nice,48.974439241576086,2.372645848023919,Ligne B,1753055200662,6,4,12,40,38,756,33,39,68,51,12,5.679047187654906,1
7,Station-7,Toulouse,48.55665794675668,2.4906171472824097,Metro 2,1735213600662,11,5,10,64,65,706,47,53,73,84,27,7.367463497921644,0
14,Station-14,Lyon,48.69822339955443,2.118831805481963,Ligne C,1746006400663,17,4,7,55,86,625,67,56,60,76,6,8.687911682895455,0
19,Station-19,Toulouse,48.13081472325349,2.599292825202857,Metro 1,1735264000663,13,7,5,26,51,828,82,15,73,50,34,7.618667039864917,1
10,Station-10,Nice,48.384174855188135,2.2601931569325524,Ligne C,1751831200664,10,7,3,65,50,999,66,18,68,86,29,9.052007512486599,0
48,Station-48,Paris,48.75796183391524,2.6606568406821163,Ligne C,1762901200664,12,5,3,46,46,535,59,34,63,67,6,1.9915901990088325,1
26,Station-26,Paris,48.75751035868603,2.5517077966695214,Metro 2,1761630400665,21,5,2,73,67,416,81,41,57,84,16,1.4076837273120468,0
33,Station-33,Nice,48.73947136418178,2.1627252499575986,Metro 2,1740192400665,23,7,7,49,53,923,17,6,68,75,32,6.160517464711246,1
49,Station-49,Toulouse,48.412354197871664,2.741001595372775,Metro 2,1740912400666,18,4,5,67,34,966,53,22,76,47,25,9.311840724321831,1
1,Station-1,Paris,48.81008206622717,2.841302529550898,Ligne B,1749548800667,8,2,1,68,60,717,22,28,53,97,20,4.707848543759266,0
15,Station-15,Nice,48.14751116766851,2.5526769637008755,Ligne A,1742662000668,13,6,1,42,88,652,71,59,75,87,19,4.812344926941462,1
2,Station-2,Toulouse,48.94875219208034,2.6964816664767595,Ligne C,1747795600668,15,4,6,63,34,706,24,9,78,92,9,5.239809186290827,1
32,Station-32,Nice,48.60433823059644,2.3438328654583747,Metro 1,1734544000675,6,5,3,32,66,739,74,31,64,42,10,9.980606417306493,0
46,Station-46,Lyon,48.506684416739354,2.049316127589077,Metro 2,1752666400675,7,5,12,34,95,983,67,8,75,98,21,1.9513692758100465,0
24,Station-24,Toulouse,48.70609579697737,2.7671795203027103,Ligne A,1757108800676,18,1,5,57,34,670,10,39,51,48,17,6.709734502800067,1
40,Station-40,Nice,48.64123997069968,2.935421944383078,Metro 1,1752662800676,20,3,11,57,82,759,68,6,62,66,20,8.770198626255244,1
37,Station-37,Toulouse,48.920343653631555,2.316938001229065,Metro 1,1734382000676,11,3,9,33,55,461,86,39,51,59,19,7.942933660146798,1
9,Station-9,Lyon,48.799915424708466,2.525756785670516,Metro 2,1747547200677,17,3,11,70,39,722,62,64,66,76,27,4.04304525692068,1
